medals,population,oecd,log_population
1,96165,0,11.473820745089467
1,281584,0,12.548186083469993
6,2589043,0,14.76679886732499
25,10952046,0,16.20903684608769
41,18348078,1,16.7250353858347
21,10273590,1,16.145087082652815
15,8181047,0,15.91733069549828
2,1196910,0,13.995253793743428
6,3621200,1,15.102316020583423
7,4381275,1,15.292850335882852
15,10408773,0,16.158159566209083
19,15532953,1,16.55847432514946
2,1641430,0,14.311078371091266
6,5262068,1,15.4760346633419
4,3632794,1,15.10551260714593
11,10312983,1,16.148914144891922
2,1914388,0,14.464908547274165
7,7197655,1,15.789265836491884
8,8859207,1,15.996967815189592
20,22627565,0,16.934679411290098
65,81885179,1,18.220828567856266
4,5121511,1,15.448960070664679
8,10511232,1,16.167954957676834
22,29983162,1,17.216146515390665
6,9032792,0,16.01637206918691
11,16881824,0,16.6417480981664
37,58390513,1,17.882663985972112
35,57336497,1,17.864447924819803
27,45647373,0,17.63645661679955
6,10156645,1,16.133638729045693
2,3393646,0,15.037415417627608
3,5373191,0,15.496932517190064
2,4372670,0,15.290884364478746
23,50879424,0,17.744969156177344
2,4450539,0,15.308535770403058
17,38632597,1,17.469606959926153
17,39811796,1,17.49967380825177
63,147757004,0,18.811079617526254
1,2468091,0,14.718955535288764
1,2495980,0,14.73019199561884
2,5216046,0,15.467250201568143
101,265462901,1,19.396985656302725
3,8055908,1,15.901916293255743
4,10774949,0,16.19273446076423
1,3451722,0,15.054383794918163
8,27956825,0,17.146171913803332
1,3662418,0,15.113634142978322
1,3782862,0,15.14599142396486
15,58814763,0,17.88990345278427
5,21511993,0,16.88412115153101
2,9979834,1,16.11607701488278
1,5420065,0,15.505618365963844
1,5430553,0,15.507551528345239
1,6419635,0,15.674871820467363
1,7668253,0,15.852599376865241
5,42013377,0,17.553498625537284
1,8852751,0,15.996238816138678
14,125555525,1,18.64825864897158
1,9104682,0,16.024299344669014
3,28945551,0,17.180927071417013
2,20044560,0,16.8134683532067
6,62127894,1,17.944705624797095
15,165209940,0,18.922727586732567
2,23219707,0,16.96051191572202
3,35238756,0,17.377657057614613
1,11862430,0,16.288886820934543
2,27989535,0,17.147341248277538
1,14690501,0,16.50271165240172
1,17777110,0,16.693422232656392
3,57337466,0,17.864464824907227
1,20842388,0,16.852499355616867
3,62583991,0,17.95202006854032
1,21448082,0,16.881145782090922
50,1216387869,0,20.91915154084699
2,58852502,0,17.89054490563514
4,209977606,0,19.162511444900257
1,74505812,0,18.12638769372972
1,94079999,1,18.35965603148534
1,948910783,0,20.670825340563688
